"RUNNO","TRNO","R","O","P","CR","MODEL","EXNAME","TNAM","FNAM","WSTA","WYEAR","SOIL_ID","XLAT","LONG","ELEV","SDAT","PDAT","EDAT","ADAT","MDAT","HDAT","HYEAR","DWAP","CWAM","HWAM","HWAH","BWAH","PWAM","HWUM","HAM","HUM","HIAM","LAIX","EYLDH","FCWAM","FHWAM","HWAHF","FBWAH","FPWAM","IRM","IRCM","PRCM","ETCM","EPCM","ESCM","ROCM","DRCM","SWXM","NIM","NICM","NFXM","NUCM","NLCM","NIAM","NMINC","CNAM","GNAM","N2OEM","PIM","PICM","PUPC","SPAM","KIM","KICM","KUPC","SKAM","RECM","ONTAM","ONAM","OPTAM","OPAM","OCTAM","OCAM","CO2EM","CH4EM","DMPPM","DMPEM","DMPTM","DMPIM","YPPM","YPEM","YPTM","YPIM","DPNAM","DPNUM","YPNAM","YPNUM","NDCH","TMAXA","TMINA","SRADA","DAYLA","CO2A","PRCP","ETCP","ESCP","EPCP","CRST"
53,13,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_32_sd_3_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2019349,2019355,2020058,2020096,2020096,2020,NA,12444,5282,5282,0,2064,36.38,14520,48.4,0.424,5.7,-99,NA,NA,NA,NA,NA,16,226,46,339,217,122,0,1,206,2,99,0,192,0,22,118,153,130,0.098,NA,NA,NA,NA,NA,NA,NA,NA,0,27271,27271,0,0,209360,209360,1338.6,2.3,271.1,41.4,57.4,55,115.1,17.6,24.4,23.4,125.7,64.8,53.4,27.5,112,23.4,14.5,13.9,11.8,412.9,45.9,300.7,84.1,216.6,1
54,14,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_32_sd_4_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2019359,2019365,2020065,2020103,2020103,2020,NA,11407,4699,4699,0,1920,35.02,13419,44.7,0.412,5.3,-99,NA,NA,NA,NA,NA,18,261,47,377,231,147,0,1,203,2,99,0,185,0,35,123,141,119,0.104,NA,NA,NA,NA,NA,NA,NA,NA,0,27265,27265,0,0,209277,209277,1422,2.1,250.2,35.5,49.4,43.8,103,14.6,20.4,18,115.2,61.7,47.5,25.4,109,24.6,14.9,14.7,11.9,413,45.6,321.8,91,230.8,1
55,15,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_32_sd_5_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2020004,2020009,2020073,2020110,2020110,2020,NA,11373,4494,4494,0,2075,35.06,12817,42.7,0.395,5.6,-99,NA,NA,NA,NA,NA,19,278,85,410,252,158,3,1,224,2,99,0,190,0,36,130,147,122,0.109,NA,NA,NA,NA,NA,NA,NA,NA,0,27259,27259,0,0,209188,209188,1511,2.1,156,33.7,45.2,40.9,61.6,13.3,17.9,16.2,114.9,59.9,45.4,23.7,106,25.6,15.6,15.1,11.9,413,72.9,337.9,86.4,251.5,1
56,16,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_33_sd_1_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2019329,2019333,2020045,2020086,2020086,2020,NA,13463,5523,5523,0,2303,35.34,15626,52.1,0.41,5.8,-99,NA,NA,NA,NA,NA,13,187,46,289,202,87,0,1,217,2,99,0,194,0,12,109,149,126,0.079,NA,NA,NA,NA,NA,NA,NA,NA,0,27279,27279,0,0,209498,209498,1200.6,1.6,293.3,47.8,66.6,71.9,120.3,19.6,27.3,29.5,136,69.4,55.8,28.5,122,22.4,14.3,13,11.8,412.8,45.9,281.7,79.6,202.1,1
57,17,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_33_sd_2_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2019339,2019344,2020053,2020092,2020092,2020,NA,12981,5493,5493,0,2301,36.83,14916,49.7,0.423,5.9,-99,NA,NA,NA,NA,NA,15,218,46,316,213,102,1,1,221,2,99,0,199,0,14,115,154,131,0.087,NA,NA,NA,NA,NA,NA,NA,NA,0,27273,27273,0,0,209417,209417,1282.1,2,282.8,44.4,60.8,59.6,119.7,18.8,25.7,25.2,131.1,65.2,55.5,27.6,118,22.9,14.3,13.5,11.8,412.8,45.9,292.6,79.3,213.3,1
58,18,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_33_sd_3_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2019349,2019355,2020060,2020098,2020098,2020,NA,12578,5182,5182,0,2235,35.87,14448,48.2,0.412,5.9,-99,NA,NA,NA,NA,NA,17,243,46,352,225,127,0,1,210,2,99,0,199,0,19,120,155,131,0.097,NA,NA,NA,NA,NA,NA,NA,NA,0,27268,27268,0,0,209337,209337,1362,2.2,274,40.8,55.9,51.8,112.9,16.8,23,21.3,127.1,63.2,52.3,26,114,23.6,14.6,14.1,11.8,412.9,45.9,308.6,83.5,225.1,1
59,19,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_33_sd_4_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2019359,2019365,2020068,2020105,2020105,2020,NA,11697,4786,4786,0,2069,34.96,13691,45.6,0.409,5.5,-99,NA,NA,NA,NA,NA,18,263,47,382,245,137,0,1,201,2,99,0,196,0,27,126,147,124,0.103,NA,NA,NA,NA,NA,NA,NA,NA,0,27262,27262,0,0,209247,209247,1451.6,2.2,252.1,35.4,47.8,44.4,103.1,14.5,19.6,18.2,118.2,59.7,48.3,24.4,111,24.8,15,14.8,11.9,413,46.4,330.4,85.8,244.7,1
60,20,1,1,1,"WH","WHAPS048","BADI1901","ND_Bari_Gom_33_sd_5_R1","BADI001","BADI1901",2019,"BD03338263",52.4,5.4,-4,2019324,2020004,2020009,2020075,2020112,2020112,2020,NA,11750,4534,4534,0,2252,34.08,13304,44.3,0.386,5.8,-99,NA,NA,NA,NA,NA,19,281,116,417,262,155,7,1,247,2,99,0,198,0,31,133,152,129,0.107,NA,NA,NA,NA,NA,NA,NA,NA,0,27256,27256,0,0,209163,209163,1535.8,2.1,136.8,34,44.8,41.9,52.8,13.1,17.3,16.1,118.7,59.3,45.8,22.9,108,25.7,15.8,15.1,11.9,413,85.9,345.4,83.2,262.2,1
61,1,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_26_sd_1_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020329,2020333,2021038,2021078,2021078,2021,NA,13253,5645,5645,0,1876,32.46,17392,58,0.426,5.1,-99,NA,NA,NA,NA,NA,20,296,0,373,279,94,0,2,195,2,99,0,187,0,14,104,154,131,0.085,NA,NA,NA,NA,NA,NA,NA,NA,0,27284,27284,0,0,209518,209518,1180.6,1.1,NA,36.2,47.4,44.8,NA,15.4,20.2,19.1,133.9,70.9,57,30.2,115,25.7,13.4,13.8,11.8,415.1,NA,365.8,86.4,279.4,1
62,2,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_26_sd_2_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020339,2020343,2021048,2021087,2021087,2021,NA,13009,5145,5145,0,2213,32.7,15733,52.4,0.396,5.9,-99,NA,NA,NA,NA,NA,21,317,0,404,292,112,0,2,186,2,99,0,196,0,15,114,155,130,0.091,NA,NA,NA,NA,NA,NA,NA,NA,0,27274,27274,0,0,209401,209401,1298.2,1.5,NA,34.6,44.6,41.1,NA,13.7,17.6,16.2,131.4,66.4,52,26.2,114,26.3,13.8,14.4,11.8,415.2,NA,376.1,84.5,291.7,1
63,3,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_26_sd_3_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020349,2020354,2021056,2021094,2021094,2021,NA,12092,4690,4690,0,2125,31.53,14875,49.6,0.388,5.8,-99,NA,NA,NA,NA,NA,22,328,0,418,299,120,0,2,183,2,99,0,194,0,23,120,149,125,0.101,NA,NA,NA,NA,NA,NA,NA,NA,0,27268,27268,0,0,209310,209310,1389.1,1.7,NA,31.8,40.5,36.9,NA,12.3,15.7,14.3,122.1,62.3,47.4,24.2,111,26.8,14,15.2,11.8,415.2,NA,380.7,81.9,298.8,1
64,4,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_26_sd_4_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020359,2020364,2021064,2021100,2021100,2021,NA,11266,4328,4328,0,2021,31.61,13691,45.6,0.384,5.5,-99,NA,NA,NA,NA,NA,24,356,7,445,300,144,0,2,192,2,99,0,189,0,33,125,144,121,0.107,NA,NA,NA,NA,NA,NA,NA,NA,0,27263,27263,0,0,209230,209230,1468.7,1.8,1609.5,29.1,37.5,31.6,618.3,11.2,14.4,12.2,113.8,59.6,43.7,22.9,107,27.4,14.6,15.5,11.8,415.3,7,386.9,86.5,300.3,1
65,5,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_26_sd_5_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2021004,2021008,2021073,2021108,2021108,2021,NA,10875,3888,3888,0,2126,31.64,12287,41,0.358,5.5,-99,NA,NA,NA,NA,NA,25,374,22,471,307,164,0,2,198,2,99,0,192,0,38,134,149,112,0.113,NA,NA,NA,NA,NA,NA,NA,NA,0,27254,27254,0,0,209114,209114,1585.1,2.1,498.8,27.4,35.5,29.1,178.3,9.8,12.7,10.4,109.8,56.6,39.3,20.2,104,28.1,15.5,16.2,11.9,415.3,21.8,397.4,90.8,306.6,1
66,6,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_30_sd_1_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020329,2020333,2021041,2021080,2021080,2021,NA,13738,5450,5450,0,2330,33.07,16481,54.9,0.397,6,-99,NA,NA,NA,NA,NA,20,300,0,383,296,87,0,2,191,2,99,0,191,0,13,107,151,126,0.082,NA,NA,NA,NA,NA,NA,NA,NA,0,27281,27281,0,0,209496,209496,1203.3,1.1,NA,36.6,46.5,45.8,NA,14.5,18.4,18.2,138.8,71.9,55.1,28.5,117,25.9,13.5,13.9,11.8,415.1,NA,375.2,79.8,295.5,1
67,7,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_30_sd_2_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020339,2020343,2021051,2021088,2021088,2021,NA,12889,4959,4959,0,2430,34.25,14482,48.3,0.385,6.3,-99,NA,NA,NA,NA,NA,21,310,0,401,295,105,0,2,182,2,99,0,199,0,14,117,151,125,0.089,NA,NA,NA,NA,NA,NA,NA,NA,0,27272,27272,0,0,209385,209385,1314.3,1.5,NA,34.1,43.6,41.6,NA,13.1,16.8,16,130.2,64.8,50.1,24.9,115,26.3,13.8,14.5,11.8,415.2,NA,377.5,82,295.5,1
68,8,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_30_sd_3_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020349,2020354,2021058,2021095,2021095,2021,NA,12195,4602,4602,0,2311,33.45,13759,45.9,0.377,6,-99,NA,NA,NA,NA,NA,23,340,0,432,308,124,0,2,181,2,99,0,202,0,18,123,150,125,0.097,NA,NA,NA,NA,NA,NA,NA,NA,0,27266,27266,0,0,209298,209298,1401.3,1.8,NA,31,39.6,35.9,NA,11.7,14.9,13.5,123.2,60.4,46.5,22.8,112,26.9,14,15.2,11.8,415.2,NA,393.8,85.6,308.2,1
69,9,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_30_sd_4_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020359,2020364,2021066,2021102,2021102,2021,NA,11550,4251,4251,0,2230,31.75,13389,44.6,0.368,5.8,-99,NA,NA,NA,NA,NA,24,356,7,458,314,144,0,2,178,2,99,0,200,0,26,129,144,120,0.103,NA,NA,NA,NA,NA,NA,NA,NA,0,27259,27259,0,0,209203,209203,1495.8,1.8,1650,28.5,36.8,32.4,607.3,10.5,13.5,11.9,116.7,57.8,42.9,21.3,109,27.5,14.7,15.6,11.8,415.3,7,405.3,91.1,314.2,1
70,10,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_30_sd_5_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2021004,2021008,2021074,2021110,2021110,2021,NA,11149,3917,3917,0,2352,33.93,11547,38.5,0.351,5.8,-99,NA,NA,NA,NA,NA,25,379,22,485,320,165,0,2,189,2,99,0,199,0,34,137,146,107,0.11,NA,NA,NA,NA,NA,NA,NA,NA,0,27251,27251,0,0,209089,209089,1609.8,2,511.4,26.8,34.9,29.4,179.7,9.4,12.3,10.3,112.6,56,39.6,19.7,106,28.2,15.6,16.3,11.9,415.3,21.8,415.4,95.7,319.7,1
71,11,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_32_sd_1_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020329,2020333,2021037,2021077,2021077,2021,NA,13526,5734,5734,0,2003,33.32,17209,57.4,0.424,5.5,-99,NA,NA,NA,NA,NA,20,297,0,374,284,90,0,2,196,2,99,0,187,0,14,104,152,129,0.082,NA,NA,NA,NA,NA,NA,NA,NA,0,27285,27285,0,0,209533,209533,1166.5,1.2,NA,37.3,47.6,45.6,NA,15.8,20.2,19.3,136.6,72.3,57.9,30.7,114,25.7,13.4,13.7,11.8,415.1,NA,362.7,78.7,284.1,1
72,12,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_32_sd_2_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020339,2020343,2021047,2021086,2021086,2021,NA,13112,5209,5209,0,2296,33.96,15337,51.1,0.397,6.2,-99,NA,NA,NA,NA,NA,21,315,0,402,293,109,0,2,186,2,99,0,196,0,14,114,154,130,0.089,NA,NA,NA,NA,NA,NA,NA,NA,0,27275,27275,0,0,209415,209415,1283.7,1.4,NA,35,44.8,41.7,NA,13.9,17.8,16.5,132.4,66.9,52.6,26.6,113,26.2,13.8,14.4,11.8,415.2,NA,374.2,81.5,292.8,1
73,13,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_32_sd_3_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020349,2020354,2021055,2021093,2021093,2021,NA,12238,4709,4709,0,2260,32.87,14324,47.7,0.385,5.9,-99,NA,NA,NA,NA,NA,22,330,0,420,301,119,0,2,184,2,99,0,195,0,22,120,147,123,0.098,NA,NA,NA,NA,NA,NA,NA,NA,0,27269,27269,0,0,209324,209324,1375.2,1.8,NA,32.1,40.7,37.1,NA,12.3,15.7,14.3,123.6,62.8,47.6,24.1,110,26.7,13.9,15.1,11.8,415.2,NA,381.8,81.3,300.6,1
74,14,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_32_sd_4_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020359,2020364,2021063,2021100,2021100,2021,NA,11426,4318,4318,0,2135,33.01,13081,43.6,0.378,5.7,-99,NA,NA,NA,NA,NA,24,357,7,446,305,140,0,2,191,2,99,0,195,0,28,126,145,122,0.104,NA,NA,NA,NA,NA,NA,NA,NA,0,27262,27262,0,0,209233,209233,1466,1.7,1632.3,29.4,37.4,32.1,616.9,11.1,14.1,12.1,115.4,58.6,43.6,22.1,107,27.4,14.6,15.5,11.8,415.3,7,388.1,82.8,305.4,1
75,15,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_32_sd_5_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2021004,2021008,2021072,2021107,2021107,2021,NA,11055,3985,3985,0,2198,32.63,12212,40.7,0.361,5.6,-99,NA,NA,NA,NA,NA,25,371,22,467,312,155,0,2,199,2,99,0,194,0,36,134,147,115,0.111,NA,NA,NA,NA,NA,NA,NA,NA,0,27255,27255,0,0,209127,209127,1572.3,1.9,1579.3,28.1,35.4,29.8,569.3,10.1,12.8,10.7,111.7,57,40.3,20.5,103,28.1,15.5,16.1,11.9,415.3,7,393.5,81.2,312.3,1
76,16,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_33_sd_1_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020329,2020333,2021041,2021081,2021081,2021,NA,13789,5551,5551,0,2363,33.28,16680,55.6,0.403,6,-99,NA,NA,NA,NA,NA,20,300,0,385,298,87,0,2,189,2,99,0,192,0,13,108,152,128,0.083,NA,NA,NA,NA,NA,NA,NA,NA,0,27280,27280,0,0,209483,209483,1216.3,1.2,NA,36.6,46.3,46,NA,14.7,18.7,18.5,139.3,71.8,56.1,28.9,118,25.9,13.6,13.9,11.8,415.1,NA,377.2,79.7,297.6,1
77,17,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_33_sd_2_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020339,2020343,2021051,2021089,2021089,2021,NA,12939,5051,5051,0,2456,34.38,14693,49,0.39,6.3,-99,NA,NA,NA,NA,NA,21,310,0,402,298,103,0,2,181,2,99,0,201,0,14,118,152,127,0.089,NA,NA,NA,NA,NA,NA,NA,NA,0,27271,27271,0,0,209373,209373,1326.5,1.5,NA,34.2,43.4,41.8,NA,13.3,16.9,16.3,130.7,64.4,51,25.1,116,26.4,13.9,14.5,11.8,415.2,NA,378.6,80.5,298.1,1
78,18,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_33_sd_3_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020349,2020354,2021058,2021096,2021096,2021,NA,12194,4604,4604,0,2377,32.22,14292,47.6,0.378,5.9,-99,NA,NA,NA,NA,NA,23,339,0,432,309,123,0,2,181,2,99,0,203,0,18,124,149,124,0.097,NA,NA,NA,NA,NA,NA,NA,NA,0,27265,27265,0,0,209284,209284,1415.5,1.9,NA,30.9,39.5,35.9,NA,11.7,14.9,13.6,123.2,60.1,46.5,22.7,113,26.9,14.1,15.3,11.8,415.2,NA,394.3,85.3,309,1
79,19,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_33_sd_4_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2020359,2020364,2021066,2021102,2021102,2021,NA,11589,4288,4288,0,2279,31.74,13513,45,0.37,5.8,-99,NA,NA,NA,NA,NA,24,356,7,458,315,143,0,2,179,2,99,0,202,0,24,129,146,122,0.102,NA,NA,NA,NA,NA,NA,NA,NA,0,27259,27259,0,0,209203,209203,1495.7,1.9,1655.6,28.6,36.8,32.5,612.6,10.6,13.6,12,117.1,57.4,43.3,21.2,109,27.5,14.7,15.6,11.8,415.3,7,404.5,89.4,315.1,1
80,20,1,1,1,"WH","WHAPS048","BADI2001","ND_Bari_Gom_33_sd_5_R1","BADI001","BADI2001",2020,"BD03338263",52.4,5.4,-4,2020324,2021004,2021008,2021074,2021110,2021110,2021,NA,11178,3912,3912,0,2403,32.33,12100,40.3,0.35,5.8,-99,NA,NA,NA,NA,NA,25,379,22,485,320,164,0,2,189,2,99,0,201,0,33,138,148,106,0.11,NA,NA,NA,NA,NA,NA,NA,NA,0,27251,27251,0,0,209090,209090,1609.4,1.9,512.7,26.9,34.9,29.5,179.4,9.4,12.2,10.3,112.9,55.6,39.5,19.5,106,28.2,15.6,16.3,11.9,415.3,21.8,415.1,94.8,320.3,1
